gene_id	gene_short_name	96h_Snai1KO_Clone2_rep1	96h_Snai1KO_Clone2_rep2	96h_WT_rep4	96h_WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000030800	Prss8	374.759547213693	369.571609441685	118.607634304236	139.422690155	250.590370278653	1.5262891059638	0.18120501470843	8.42299595527029	3.66977147422632e-17	8.37456101958153e-16
ENSMUSG00000040258	Nxph4	137.852080142482	117.235706922589	5.44071716991907	3.95525362141844	66.120939464102	4.77489622283646	0.567109644540982	8.41970555217987	3.77431699563468e-17	8.59922335855185e-16
ENSMUSG00000004864	Mapk13	564.615705493757	542.633843470269	212.187969626844	257.091485392198	394.132250995767	1.23680499316788	0.146971402868908	8.41527650294704	3.91969243954732e-17	8.91603588305418e-16
ENSMUSG00000007379	Dennd2c	372.283162540474	413.116300584361	121.872064606187	152.27726442461	264.887198038908	1.51321940164039	0.18140096777851	8.3418485588678	7.313808208822e-17	1.66097644394552e-15
ENSMUSG00000028601	Echdc2	638.081784132565	676.617508524656	313.385308987339	317.40910311883	486.373426190847	1.05796286256569	0.127309257642	8.31018012484793	9.55569129637207e-17	2.1493447265189e-15
ENSMUSG00000027580	Helz2	218.747312800944	212.14080300278	46.790167661304	51.4182970784397	132.274145135867	2.13231675651132	0.256748826801539	8.30506913342021	9.97613440320903e-17	2.23677938773381e-15
ENSMUSG00000058145	Adamts17	171.696004009797	195.392844870982	454.843955405235	453.865353057766	318.949539335945	-1.3131501737316	0.158194981706566	-8.30083331067569	1.0338366117689e-16	2.31431710091695e-15
ENSMUSG00000029026	Trp73	234.431082397993	197.625905955221	41.349450491385	52.4071104837943	131.453387332098	2.20331096701472	0.265985264775893	8.28358281001439	1.19523795306168e-16	2.65874461388469e-15
ENSMUSG00000031351	Zfp185	391.268778368481	391.902220284083	153.428224191718	138.433876749645	268.758274898482	1.42552292524232	0.172558096452557	8.26111874521201	1.44313431551004e-16	3.19505859523362e-15
ENSMUSG00000067818	Myl9	137.026618584742	158.547336981025	19.5865818117087	18.7874547017376	83.4869980198034	2.94344989783814	0.356299837793245	8.26115980312677	1.44263793503901e-16	3.19505859523362e-15
