gene	AverageSnai1log2FC	ConcordentSnai1log2FCSign	MaxpValueSnai1	Clone1	Clone2
Liph	2.19945614263854	TRUE	4.77556266877602e-06	2.00787216368633	2.39104012159075
Rtp4	4.34921701997353	TRUE	3.54627329535259e-06	3.53660147032364	5.16183256962342
Parp14	4.47602459658295	TRUE	3.56915966147974e-13	3.88459615040903	5.06745304275687
Dtx3l	3.00548095365468	TRUE	2.99020658369187e-50	2.65629439602192	3.35466751128744
Parp9	3.62254962225798	TRUE	7.67172396373677e-37	3.06258811202147	4.18251113249449
Arhgap31	-2.67894159523575	TRUE	5.62848684195977e-08	-3.10973904982243	-2.24814414064907
Robo2	-2.85874150839988	TRUE	4.50507872448608e-07	-3.0528230282252	-2.66465998857456
Chodl	-3.64180397261185	TRUE	3.64401538409554e-09	-4.05586354865748	-3.22774439656623
Dll1	-2.68674406108761	TRUE	2.41692418054154e-53	-2.9712085188191	-2.40227960335611
Tapbp	2.88882693615662	TRUE	1.1596649682784e-24	2.56150611978643	3.2161477525268
Psmb8	4.26293959798405	TRUE	4.46108231022799e-05	3.65517557383615	4.87070362213196
Tap2	3.31924775335368	TRUE	5.89954900630792e-07	2.77574609047883	3.86274941622853
Pou5f1	2.3893992355064	TRUE	6.89228622668385e-296	2.45257080799093	2.32622766302188
Crb3	2.07337903427824	TRUE	2.22729824338637e-09	2.07046743681104	2.07629063174543
Rasgrp3	-2.22498459399683	TRUE	3.04487025037615e-37	-2.65043653466988	-1.79953265332378
Pkdcc	2.16736135959275	TRUE	1.20645095811782e-09	2.08781036166526	2.24691235752023
Sting1	-2.05836062168168	TRUE	1.34634768871703e-11	-2.206166322204	-1.91055492115936
Dnd1	2.50062893931265	TRUE	2.78155463425525e-10	2.05774310751581	2.94351477110949
Fbn2	-2.86889406764088	TRUE	8.61608925402106e-75	-2.99893639673657	-2.7388517385452
Gnal	-2.46899740273836	TRUE	7.55085331060992e-61	-2.63818579419291	-2.29980901128381
Myrf	2.34054414177012	TRUE	1.59168534793768e-29	2.50404769766733	2.17704058587291
Pcsk5	-3.04796029171702	TRUE	4.6144522247052e-40	-3.23296420778672	-2.86295637564733
Dmrt2	-3.78727918079027	TRUE	1.7205561899049e-07	-4.26228302634394	-3.31227533523659
Insl6	2.05694535319454	TRUE	7.16057818389252e-06	1.92241448939983	2.19147621698926
Il33	3.83571012441857	TRUE	1.68201770197748e-06	3.78681723136948	3.88460301746766
Acta2	-3.81070413677804	TRUE	1.25788065620191e-26	-3.93800800227685	-3.68340027127923
Cyp26a1	-2.24850631182988	TRUE	1.16336092157792e-37	-2.82092044340285	-1.6760921802569
Tll2	-2.08992471249771	TRUE	7.05112657821621e-10	-1.9722215694667	-2.20762785552871
Pax2	-2.02271238224768	TRUE	6.01453691932178e-07	-2.24051502004951	-1.80490974444585
Emx2	-2.16534035790213	TRUE	1.17232925877592e-06	-2.48861302181289	-1.84206769399137
